Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,8,57,0,Some Random Commen with Id 0
1,0,8,146,7,Some Random Commen with Id 1
2,0,8,95,9,Some Random Commen with Id 2
3,0,8,128,3,Some Random Commen with Id 3
4,0,8,54,3,Some Random Commen with Id 4
5,0,8,142,8,Some Random Commen with Id 5
6,1,9,160,9,Some Random Commen with Id 6
7,1,9,153,9,Some Random Commen with Id 7
8,1,9,140,7,Some Random Commen with Id 8
9,1,9,6,3,Some Random Commen with Id 9
10,2,2,81,2,Some Random Commen with Id 10
11,2,2,90,2,Some Random Commen with Id 11
12,3,6,5,8,Some Random Commen with Id 12
13,3,6,71,9,Some Random Commen with Id 13
14,3,6,96,1,Some Random Commen with Id 14
15,4,7,9,0,Some Random Commen with Id 15
16,5,7,38,7,Some Random Commen with Id 16
17,5,7,101,6,Some Random Commen with Id 17
18,5,7,99,7,Some Random Commen with Id 18
19,5,7,113,2,Some Random Commen with Id 19
20,6,5,86,4,Some Random Commen with Id 20
21,6,5,32,2,Some Random Commen with Id 21
22,7,4,133,0,Some Random Commen with Id 22
23,7,4,54,7,Some Random Commen with Id 23
24,7,4,159,6,Some Random Commen with Id 24
25,8,1,123,1,Some Random Commen with Id 25
26,9,2,0,8,Some Random Commen with Id 26
27,9,2,154,8,Some Random Commen with Id 27
28,9,2,29,6,Some Random Commen with Id 28
29,9,2,55,7,Some Random Commen with Id 29
30,9,2,14,1,Some Random Commen with Id 30
31,10,6,53,2,Some Random Commen with Id 31
32,11,7,156,5,Some Random Commen with Id 32
33,11,7,27,4,Some Random Commen with Id 33
34,11,7,113,5,Some Random Commen with Id 34
35,12,5,187,9,Some Random Commen with Id 35
36,13,3,25,6,Some Random Commen with Id 36
37,13,3,114,2,Some Random Commen with Id 37
38,15,6,55,8,Some Random Commen with Id 38
39,15,6,175,2,Some Random Commen with Id 39
40,15,6,52,7,Some Random Commen with Id 40
41,16,5,77,5,Some Random Commen with Id 41
42,16,5,19,0,Some Random Commen with Id 42
43,16,5,189,1,Some Random Commen with Id 43
44,16,5,128,6,Some Random Commen with Id 44
45,16,5,2,6,Some Random Commen with Id 45
46,16,5,8,5,Some Random Commen with Id 46
47,17,7,61,7,Some Random Commen with Id 47
48,17,7,181,9,Some Random Commen with Id 48
49,17,7,190,7,Some Random Commen with Id 49
50,17,7,155,2,Some Random Commen with Id 50
51,17,7,188,8,Some Random Commen with Id 51
52,17,7,8,4,Some Random Commen with Id 52
53,18,2,194,2,Some Random Commen with Id 53
54,18,2,97,3,Some Random Commen with Id 54
55,18,2,77,0,Some Random Commen with Id 55
56,18,2,169,4,Some Random Commen with Id 56
57,18,2,55,6,Some Random Commen with Id 57
58,18,2,148,5,Some Random Commen with Id 58
59,19,8,77,8,Some Random Commen with Id 59
60,19,8,192,1,Some Random Commen with Id 60
61,19,8,30,7,Some Random Commen with Id 61
62,19,8,155,0,Some Random Commen with Id 62
63,19,8,31,4,Some Random Commen with Id 63
64,19,8,118,0,Some Random Commen with Id 64
65,20,2,131,0,Some Random Commen with Id 65
66,20,2,82,8,Some Random Commen with Id 66
67,20,2,107,8,Some Random Commen with Id 67
68,20,2,92,3,Some Random Commen with Id 68
69,20,2,114,2,Some Random Commen with Id 69
70,20,2,126,6,Some Random Commen with Id 70
71,20,2,100,0,Some Random Commen with Id 71
72,20,2,101,9,Some Random Commen with Id 72
73,20,2,107,7,Some Random Commen with Id 73
74,21,2,176,3,Some Random Commen with Id 74
75,21,2,124,2,Some Random Commen with Id 75
76,21,2,183,0,Some Random Commen with Id 76
77,21,2,121,2,Some Random Commen with Id 77
78,21,2,183,6,Some Random Commen with Id 78
79,22,5,30,7,Some Random Commen with Id 79
80,22,5,102,2,Some Random Commen with Id 80
81,22,5,180,1,Some Random Commen with Id 81
82,22,5,118,6,Some Random Commen with Id 82
83,22,5,70,1,Some Random Commen with Id 83
84,22,5,183,0,Some Random Commen with Id 84
85,22,5,19,7,Some Random Commen with Id 85
86,22,5,13,3,Some Random Commen with Id 86
87,22,5,35,7,Some Random Commen with Id 87
88,23,6,122,6,Some Random Commen with Id 88
89,23,6,59,6,Some Random Commen with Id 89
90,23,6,188,0,Some Random Commen with Id 90
91,23,6,72,2,Some Random Commen with Id 91
92,23,6,147,6,Some Random Commen with Id 92
93,23,6,179,6,Some Random Commen with Id 93
94,24,4,175,4,Some Random Commen with Id 94
95,24,4,120,9,Some Random Commen with Id 95
96,24,4,91,2,Some Random Commen with Id 96
97,24,4,198,0,Some Random Commen with Id 97
98,25,6,70,0,Some Random Commen with Id 98
99,25,6,161,9,Some Random Commen with Id 99
100,25,6,96,9,Some Random Commen with Id 100
101,25,6,166,0,Some Random Commen with Id 101
102,25,6,58,8,Some Random Commen with Id 102
103,25,6,166,9,Some Random Commen with Id 103
104,25,6,56,5,Some Random Commen with Id 104
105,25,6,97,3,Some Random Commen with Id 105
106,25,6,102,8,Some Random Commen with Id 106
107,26,2,145,8,Some Random Commen with Id 107
108,26,2,179,8,Some Random Commen with Id 108
109,26,2,44,6,Some Random Commen with Id 109
110,26,2,30,0,Some Random Commen with Id 110
111,26,2,71,2,Some Random Commen with Id 111
112,26,2,177,4,Some Random Commen with Id 112
113,27,1,36,7,Some Random Commen with Id 113
114,27,1,198,7,Some Random Commen with Id 114
115,27,1,29,6,Some Random Commen with Id 115
116,27,1,107,0,Some Random Commen with Id 116
117,29,0,95,4,Some Random Commen with Id 117
118,29,0,139,9,Some Random Commen with Id 118
119,29,0,83,0,Some Random Commen with Id 119
120,29,0,74,2,Some Random Commen with Id 120
121,30,5,12,6,Some Random Commen with Id 121
122,30,5,100,0,Some Random Commen with Id 122
123,30,5,131,8,Some Random Commen with Id 123
124,30,5,27,2,Some Random Commen with Id 124
125,31,7,52,2,Some Random Commen with Id 125
126,31,7,145,0,Some Random Commen with Id 126
127,31,7,107,7,Some Random Commen with Id 127
128,31,7,186,4,Some Random Commen with Id 128
129,31,7,155,3,Some Random Commen with Id 129
130,31,7,58,3,Some Random Commen with Id 130
131,31,7,31,3,Some Random Commen with Id 131
132,31,7,87,5,Some Random Commen with Id 132
133,31,7,38,0,Some Random Commen with Id 133
134,32,3,89,5,Some Random Commen with Id 134
135,32,3,163,4,Some Random Commen with Id 135
136,33,7,48,5,Some Random Commen with Id 136
137,33,7,145,6,Some Random Commen with Id 137
138,33,7,98,2,Some Random Commen with Id 138
139,33,7,43,0,Some Random Commen with Id 139
140,34,5,62,7,Some Random Commen with Id 140
141,34,5,34,5,Some Random Commen with Id 141
142,34,5,93,2,Some Random Commen with Id 142
143,34,5,72,3,Some Random Commen with Id 143
144,34,5,3,2,Some Random Commen with Id 144
145,34,5,189,2,Some Random Commen with Id 145
146,34,5,74,6,Some Random Commen with Id 146
